F,zF,LT,VB,qF,y_D,x_B,residual_norm,success
0.8,0.6199999999999999,2.8686674,3.0459755000000004,1.0,0.9997810381899369,0.5118594628134292,7.958988219123777e-09,True
0.8,0.6199999999999999,2.8686674,3.20629,1.0,0.9993989604993303,0.3429672052030895,1.0116142517602758e-08,True
0.8,0.6199999999999999,2.8686674,3.3666045,1.0,0.9944362284879477,0.0027598627843912235,3.670834736185538e-08,True
0.8,0.6199999999999999,2.8686674,3.5269190000000004,1.0,0.7534574452341011,0.0002499579730031009,2.1508359878453787e-15,True
0.8,0.6199999999999999,2.9769190000000005,2.8856610000000003,1.0,0.999962910662246,0.6589053231533164,3.021101038918159e-08,True
0.8,0.6199999999999999,2.9769190000000005,3.0459755000000004,1.0,0.9998956297360918,0.5841093005533989,4.885587920671538e-08,True
0.8,0.6199999999999999,2.9769190000000005,3.20629,1.0,0.9997181179285648,0.4673680058185192,2.5837622339826652e-08,True
0.8,0.6199999999999999,2.9769190000000005,3.3666045,1.0,0.9992559483236475,0.2598114939686592,1.97612134619258e-08,True
0.8,0.6199999999999999,2.9769190000000005,3.5269190000000004,1.0,0.9015768971269406,0.0005308263207310913,2.5766726441332253e-15,True
0.8,0.7,2.435661,2.8856610000000003,1.0,0.9985762438170518,0.31611625794950504,2.7586015127690726e-15,True
0.8,0.7,2.435661,3.0459755000000004,1.0,0.9173173835667917,0.000779710138160461,4.5976691879484545e-14,True
0.8,0.7,2.435661,3.20629,1.0,0.7266723117681025,0.00017823883671932273,3.0316805339541898e-09,True
0.8,0.7,2.435661,3.3666045,1.0,0.6015480083951321,5.5016837488426654e-05,3.262192014938894e-08,True
0.8,0.7,2.435661,3.5269190000000004,1.0,0.5131742983947226,1.9086447762938e-05,1.279207866852278e-08,True
0.8,0.7,2.5439126,2.8856610000000003,1.0,0.9994025256061096,0.47671581707113037,4.533648517916113e-15,True
0.8,0.7,2.5439126,3.0459755000000004,1.0,0.9982744779141633,0.19736852860325144,6.184729655179954e-09,True
0.8,0.7,2.5439126,3.20629,1.0,0.8453538762061475,0.00041197738343688446,3.4316817880211265e-15,True
0.8,0.7,2.5439126,3.3666045,1.0,0.6806953770439329,0.00011567960514394262,3.167310769312732e-08,True
0.8,0.7,2.5439126,3.5269190000000004,1.0,0.5696881300041209,3.878439066698946e-05,3.310425916801556e-08,True
0.8,0.7,2.6521642000000005,2.8856610000000003,1.0,0.9997368531613672,0.5764568389812268,3.059984661048762e-15,True
0.8,0.7,2.6521642000000005,3.0459755000000004,1.0,0.9992588411409742,0.40986015156746086,3.793993544617364e-09,True
0.8,0.7,2.6521642000000005,3.20629,1.0,0.9976687880425474,0.029144932766148036,7.149837529331441e-09,True
0.8,0.7,2.6521642000000005,3.3666045,1.0,0.7838006557687969,0.0002480648289378815,2.9445530246893122e-15,True
0.8,0.7,2.6521642000000005,3.5269190000000004,1.0,0.6401864033814585,7.847957449062412e-05,5.4115290994839646e-08,True
0.8,0.7,2.7604158,2.8856610000000003,1.0,0.9998796448508894,0.6443375784873576,3.6192357722850776e-15,True
0.8,0.7,2.7604158,3.0459755000000004,1.0,0.9996642009982222,0.5336602126832345,3.8633690968161445e-08,True
0.8,0.7,2.7604158,3.20629,1.0,0.999097191052276,0.32341179729601416,9.399037125302341e-08,True
0.8,0.7,2.7604158,3.3666045,1.0,0.9236159148361988,0.0005906223534664773,1.7763568394002505e-15,True
0.8,0.7,2.7604158,3.5269190000000004,1.0,0.7305835162525769,0.0001599288293002927,8.983645502124729e-08,True
0.8,0.7,2.8686674,2.8856610000000003,1.0,0.9999431631933074,0.6934903288938098,2.6772265110895263e-15,True
0.8,0.7,2.8686674,3.0459755000000004,1.0,0.9998421542035647,0.6146216903600369,3.605261965655213e-08,True
0.8,0.7,2.8686674,3.20629,1.0,0.9995807240982557,0.48124982219247664,3.713191278414967e-08,True
0.8,0.7,2.8686674,3.3666045,1.0,0.9989131668126002,0.207255090660239,8.714193930292543e-10,True
0.8,0.7,2.8686674,3.5269190000000004,1.0,0.8506657813768752,0.0003378404512584378,2.611113054734707e-15,True
0.8,0.7,2.9769190000000005,2.8856610000000003,1.0,0.9999723860864036,0.7307148760634437,1.996869855099689e-08,True
0.8,0.7,2.9769190000000005,3.0459755000000004,1.0,0.999923501613935,0.6716646932991538,4.089634092930608e-08,True
